"location","NAME_0","NAME_1","GID_1","NAME_2","NAME_3","GID_3","GID_2"
"Panama-Metro-Clayton","PANAMA","Panamá",NA,"Panamá","Ancón","PAN.12.6.1_1",NA
"Panama-Metro-Costa_del_Este","PANAMA","Panamá",NA,"Panamá","Parque Lefevre","PAN.12.6.11_1",NA
"Panama-Metro-Taboga","PANAMA","PANAMA OESTE",NA,"TABOGA","TABOGA","PAN.11.7.3_1",NA
"Panama-Metro-Arnulfo_Arias","PANAMA","PANAMA",NA,"SAN MIGUELITO","ARNULFO ARIAS","PAN.12.7.2_1",NA
"Panama-Metro-Gamboa","PANAMA","Colón",NA,"Colón","Cristóbal","PAN.4.2.6_1",NA
"Panama-Metro-Veracruz","PANAMA","PANAMA OESTE",NA,"ARRAIJAN","VERACRUZ","PAN.11.1.5_1",NA
"Panama-Panama_Oeste-Gorgona","PANAMA","PANAMA OESTE",NA,"CHAME","NUEVA GORGONA","PAN.11.3.8_1",NA
"Panama-Panama_Oeste-Guadalupe","PANAMA","PANAMA OESTE",NA,"LA CHORRERA","GUADALUPE","PAN.11.4.8_1",NA
"Panama-Panama_Oeste-Arraija_n","PANAMA","PANAMA OESTE",NA,"ARRAIJAN","ARRAIJAN","PAN.11.1.1_1",NA
"Panama-Panama_Oeste-Playa_Leona","PANAMA","PANAMA OESTE",NA,"LA CHORRERA","PLAYA LEONA","PAN.11.4.16_1",NA
"Panama-Panama_Oeste-El_Coco","PANAMA","PANAMA OESTE",NA,"LA CHORRERA","EL COCO","PAN.11.4.6_1",NA
"Panama-Panama_Oeste-La_Mitra","PANAMA","Panamá Oeste",NA,"La Chorrera","Playa Leona","PAN.11.4.16_1",NA
"Panama-Panama_Oeste-Vista_Alegre","PANAMA","PANAMA OESTE",NA,"ARRAIJAN","VISTA ALEGRE","PAN.11.1.6_1",NA
"Panama-Panama_Norte-las_cumbres","PANAMA","PANAMA",NA,"PANAMA","LAS CUMBRES","PAN.12.6.9_1",NA
"Panama-Panama_Norte-Chilibre","PANAMA","PANAMA",NA,"PANAMA","CHILIBRE","PAN.12.6.4_1",NA
"Panama-Panama_Norte-Ernesto_Cordoba","PANAMA","Panamá",NA,"Panamá","Las Cumbres","PAN.12.6.9_1",NA
"Panama-Colon-Salamanca","PANAMA","COLON",NA,"COLON","SALAMANCA","PAN.4.2.12_1",NA
"Panama-Colon-San_Juan","PANAMA","COLON",NA,"COLON","SAN JUAN","PAN.4.2.13_1",NA
"Panama-San_Miguelito-Villas_del_Golf","PANAMA","Panamá",NA,"San Miguelito","José Domingo Espinar","PAN.12.7.5_1",NA
"Panama-San_Miguelito-San_Jose","PANAMA","Panamá",NA,"San Miguelito","Amelia Denis de Icaza","PAN.12.7.1_1",NA
"Panama-San_Miguelito-Quintas_de_Montichello","PANAMA","Panamá",NA,"San Miguelito","Rufina Alfaro","PAN.12.7.8_1",NA
"Panama-San_Miguelito-Mano_de_Piedra","PANAMA","PANAMA",NA,"SAN MIGUELITO","ARNULFO ARIAS","PAN.12.7.2_1",NA
"Panama-San_Miguelito-Samaria","PANAMA","PANAMA",NA,"SAN MIGUELITO","BELISARIO PORRAS","PAN.12.7.4_1",NA
"Panama-San_Miguelito-Altos_de_Panama","PANAMA","Panamá",NA,"Panamá","Ancón","PAN.12.6.1_1",NA
"Panama-San_Miguelito-Camino_Real","PANAMA","Panamá",NA,"San Miguelito","Rufina Alfaro","PAN.12.7.8_1",NA
"Panama-San_Miguelito-Condado_del_Rey","PANAMA","Panamá",NA,"Panamá","Ancón","PAN.12.6.1_1",NA
"Panama-San_Miguelito-Villa_Lucre","PANAMA","Panamá",NA,"San Miguelito","Mateo Iturralde","PAN.12.7.6_1",NA
"Panama-San_Miguelito-Brisas_del_Golf","PANAMA","Panamá",NA,"San Miguelito","Rufina Alfaro","PAN.12.7.8_1",NA
"Panama-San_Miguelito-Victoriano_Lorenzo","PANAMA","PANAMA",NA,"SAN MIGUELITO","VICTORIANO LORENZO","PAN.12.7.9_1",NA
"Panama-San_Miguelito-Omar_Torrijos","PANAMA","PANAMA",NA,"SAN MIGUELITO","OMAR TORRIJOS","PAN.12.7.7_1",NA
"Panama-San_Miguelito-Ojo_de_Agua","PANAMA","Panamá",NA,"San Miguelito","Omar Torrijos","PAN.12.7.7_1",NA
"Panama-San_Miguelito-Villa_Guadalupe","PANAMA","Panamá",NA,"San Miguelito","Mateo Iturralde","PAN.12.7.6_1",NA
"Panama-San_Los_Santos-La_Villa","PANAMA","LOS SANTOS",NA,"LOS SANTOS","LA VILLA DE LOS SANTOS","PAN.9.3.5_1",NA
"Panama-Darien-Rio_Congo","PANAMA","DARIEN",NA,"CHEPIGANA","RIO CONGO","PAN.5.1.9_1",NA
"Panama-Herrera-Chitre","PANAMA","HERRERA",NA,"CHITRE","CHITRE","PAN.7.1.1_1",NA
"Panama-Costa_del_Este","PANAMA","Panamá",NA,"Panamá","Parque Lefevre","PAN.12.6.11_1",NA
"Panama-P.Este-Las_Margaritas","PANAMA","PANAMA",NA,"CHEPO","LAS MARGARITAS","PAN.12.2.6_1",NA
"Panama-Veraguas-Santiago","PANAMA","VERAGUES",NA,"SANTIAGO","SANTIAGO","PAN.13.10.8_1",NA
"Panama-Bocas_del_Toro-Bastimento","PANAMA","BOCAS DEL TORO",NA,"BOCAS DEL TORO","BASTIMENTOS","PAN.1.1.1_1",NA
"Panama-Bocas_del_Toro-Bocas_del_Toro","PANAMA","BOCAS DEL TORO",NA,"BOCAS DEL TORO","BOCAS DEL TORO","PAN.1.1.2_1",NA
"Panama-Cocle-Rio_Hato","PANAMA","COCLE",NA,"ANTON","RIO HATO","PAN.3.2.8_1",NA
"Panama-Panama_Oeste-La_Chorrera","PANAMA","PANAMA OESTE",NA,"LA CHORRERA",NA,NA,"PAN.11.4_1"
