"location","NAME_0","NAME_1","GID_1"
"United_States_Virgin_Islands-Saint_Thomas","VIRGIN ISLANDS, U.S.","SAINT THOMAS","VIR.3_1"
"United_States_Virgin_Islands-Saint_Croix","VIRGIN ISLANDS, U.S.","SAINT CROIX","VIR.1_1"
"United_States_Virgin_Islands-Saint_John","VIRGIN ISLANDS, U.S.","SAINT JOHN","VIR.2_1"
