"location","NAME_0","NAME_1","GID_1"
"United_States-Puerto_Rico-Toa_Alta","PUERTO RICO","TOA ALTA","PRI.69_1"
"United_States-Puerto_Rico-Toa_Baja","PUERTO RICO","TOA BAJA","PRI.70_1"
"United_States-Puerto_Rico-Trujillo_Alto","PUERTO RICO","TRUJILLO ALTO","PRI.71_1"
"United_States-Puerto_Rico-Utuado","PUERTO RICO","UTUADO","PRI.72_1"
"United_States-Puerto_Rico-Vega_Alta","PUERTO RICO","VEGA ALTA","PRI.73_1"
"United_States-Puerto_Rico-Vega_Baja","PUERTO RICO","VEGA BAJA","PRI.74_1"
"United_States-Puerto_Rico-Vieques","PUERTO RICO","VIEQUES","PRI.75_1"
"United_States-Puerto_Rico-Villalba","PUERTO RICO","VILLALBA","PRI.76_1"
"United_States-Puerto_Rico-Yabucoa","PUERTO RICO","YABUCOA","PRI.77_1"
"United_States-Puerto_Rico-Yauco","PUERTO RICO","YAUCO","PRI.78_1"
